age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
58,4,1,2,0,2143,1,0,2,5,5,261,0,-1,0,3,0
44,9,2,1,0,29,1,0,2,5,5,151,0,-1,0,3,0
33,2,1,1,0,2,1,1,2,5,5,76,0,-1,0,3,0
47,1,1,3,0,1506,1,0,2,5,5,92,0,-1,0,3,0
33,11,2,3,0,1,0,0,2,5,5,198,0,-1,0,3,0
35,4,1,2,0,231,1,0,2,5,5,139,0,-1,0,3,0
28,4,2,2,0,447,1,1,2,5,5,217,0,-1,0,3,0
42,2,0,2,1,2,1,0,2,5,5,380,0,-1,0,3,0
58,5,1,0,0,121,1,0,2,5,5,50,0,-1,0,3,0
43,9,2,1,0,593,1,0,2,5,5,55,0,-1,0,3,0
41,0,0,1,0,270,1,0,2,5,5,222,0,-1,0,3,0
29,0,2,1,0,390,1,0,2,5,5,137,0,-1,0,3,0
53,9,1,1,0,6,1,0,2,5,5,517,0,-1,0,3,0
58,9,1,3,0,71,1,0,2,5,5,71,0,-1,0,3,0
57,7,1,1,0,162,1,0,2,5,5,174,0,-1,0,3,0
51,5,1,0,0,229,1,0,2,5,5,353,0,-1,0,3,0
45,0,2,3,0,13,1,0,2,5,5,98,0,-1,0,3,0
57,1,1,0,0,52,1,0,2,5,5,38,0,-1,0,3,0
60,5,1,0,0,60,1,0,2,5,5,219,0,-1,0,3,0
33,7,1,1,0,0,1,0,2,5,5,54,0,-1,0,3,0
28,1,1,1,0,723,1,1,2,5,5,262,0,-1,0,3,0
56,4,1,2,0,779,1,0,2,5,5,164,0,-1,0,3,0
32,1,2,0,0,23,1,1,2,5,5,160,0,-1,0,3,0
25,7,1,1,0,50,1,0,2,5,5,342,0,-1,0,3,0
40,5,1,0,0,0,1,1,2,5,5,181,0,-1,0,3,0
44,0,1,1,0,-372,1,0,2,5,5,172,0,-1,0,3,0
39,4,2,2,0,255,1,0,2,5,5,296,0,-1,0,3,0
52,2,1,1,0,113,1,1,2,5,5,127,0,-1,0,3,0
46,4,2,1,0,-246,1,0,2,5,5,255,11,-1,0,3,0
36,9,2,1,0,265,1,1,2,5,5,348,0,-1,0,3,0
57,9,1,1,0,839,0,1,2,5,5,225,0,-1,0,3,0
49,4,1,2,0,378,1,0,2,5,5,230,0,-1,0,3,0
60,0,1,1,0,39,1,1,2,5,5,208,0,-1,0,3,0
59,1,1,1,0,0,1,0,2,5,5,226,0,-1,0,3,0
51,4,1,2,0,10635,1,0,2,5,5,336,0,-1,0,3,0
57,9,0,1,0,63,1,0,2,5,5,242,0,-1,0,3,0
25,1,1,1,0,-7,1,0,2,5,5,365,0,-1,0,3,0
53,9,1,1,0,-3,0,0,2,5,5,1666,0,-1,0,3,0
36,0,0,1,0,506,1,0,2,5,5,577,0,-1,0,3,0
37,0,2,1,0,0,1,0,2,5,5,137,0,-1,0,3,0
44,7,0,1,0,2586,1,0,2,5,5,160,0,-1,0,3,0
50,4,1,1,0,49,1,0,2,5,5,180,11,-1,0,3,0
60,1,1,3,0,104,1,0,2,5,5,22,0,-1,0,3,0
54,5,1,1,0,529,1,0,2,5,5,1492,0,-1,0,3,0
58,5,1,3,0,96,1,0,2,5,5,616,0,-1,0,3,0
36,0,2,0,0,-171,1,0,2,5,5,242,0,-1,0,3,0
58,6,1,2,0,-364,1,0,2,5,5,355,0,-1,0,3,0
44,9,1,1,0,0,1,0,2,5,5,225,11,-1,0,3,0
55,9,0,1,0,0,0,0,2,5,5,160,0,-1,0,3,0
29,4,2,2,0,0,1,0,2,5,5,363,0,-1,0,3,0
54,1,1,1,0,1291,1,0,2,5,5,266,0,-1,0,3,0
48,4,0,2,0,-244,1,0,2,5,5,253,0,-1,0,3,0
32,4,1,2,0,0,1,0,2,5,5,179,0,-1,0,3,0
42,0,2,1,0,-76,1,0,2,5,5,787,0,-1,0,3,0
24,9,2,1,0,-103,1,1,2,5,5,145,0,-1,0,3,0
38,2,2,2,0,243,0,1,2,5,5,174,0,-1,0,3,0
38,4,2,2,0,424,1,0,2,5,5,104,0,-1,0,3,0
47,1,1,3,0,306,1,0,2,5,5,13,0,-1,0,3,0
40,1,2,3,0,24,1,0,2,5,5,185,0,-1,0,3,0
46,7,1,0,0,179,1,0,2,5,5,1778,0,-1,0,3,0
32,0,1,2,0,0,1,0,2,5,5,138,0,-1,0,3,0
53,9,0,1,0,989,1,0,2,5,5,812,0,-1,0,3,0
57,1,1,0,0,249,1,0,2,5,5,164,0,-1,0,3,0
33,7,1,1,0,790,1,0,2,5,5,391,0,-1,0,3,0
49,1,1,3,0,154,1,0,2,5,5,357,0,-1,0,3,0
51,4,1,2,0,6530,1,0,2,5,5,91,0,-1,0,3,0
60,5,1,2,0,100,0,0,2,5,5,528,0,-1,0,3,0
59,4,0,2,0,59,1,0,2,5,5,273,0,-1,0,3,0
55,9,1,1,0,1205,1,0,2,5,5,158,11,-1,0,3,0
35,1,2,1,0,12223,1,1,2,5,5,177,0,-1,0,3,0
57,1,1,1,0,5935,1,1,2,5,5,258,0,-1,0,3,0
31,7,1,1,0,25,1,1,2,5,5,172,0,-1,0,3,0
54,4,1,1,0,282,1,1,2,5,5,154,0,-1,0,3,0
55,1,1,0,0,23,1,0,2,5,5,291,0,-1,0,3,0
43,9,1,1,0,1937,1,0,2,5,5,181,0,-1,0,3,0
53,9,1,1,0,384,1,0,2,5,5,176,0,-1,0,3,0
44,1,1,1,0,582,0,1,2,5,5,211,0,-1,0,3,0
55,7,0,1,0,91,0,0,2,5,5,349,0,-1,0,3,0
49,7,0,1,0,0,1,1,2,5,5,272,0,-1,0,3,0
55,7,0,1,1,1,1,0,2,5,5,208,0,-1,0,3,0
45,0,2,1,0,206,1,0,2,5,5,193,0,-1,0,3,0
47,7,0,1,0,164,0,0,2,5,5,212,0,-1,0,3,0
42,9,2,1,0,690,1,0,2,5,5,20,0,-1,0,3,0
59,0,1,1,0,2343,1,0,2,5,5,1042,0,-1,0,3,1
46,6,1,2,0,137,1,1,2,5,5,246,0,-1,0,3,0
51,1,1,0,0,173,1,0,2,5,5,529,11,-1,0,3,0
56,0,1,1,0,45,0,0,2,5,5,1467,0,-1,0,3,1
41,9,1,1,0,1270,1,0,2,5,5,1389,0,-1,0,3,1
46,4,0,1,0,16,1,1,2,5,5,188,11,-1,0,3,0
57,5,1,1,0,486,1,0,2,5,5,180,11,-1,0,3,0
42,4,2,1,0,50,0,0,2,5,5,48,0,-1,0,3,0
30,9,1,1,0,152,1,1,2,5,5,213,11,-1,0,3,0
60,0,1,1,0,290,1,0,2,5,5,583,0,-1,0,3,0
60,1,1,3,0,54,1,0,2,5,5,221,0,-1,0,3,0
57,2,0,1,0,-37,0,0,2,5,5,173,0,-1,0,3,0
36,4,1,2,0,101,1,1,2,5,5,426,0,-1,0,3,0
55,1,1,1,0,383,0,0,2,5,5,287,0,-1,0,3,0
60,5,1,2,0,81,1,0,2,5,5,101,0,-1,0,3,0
39,9,1,1,0,0,1,0,2,5,5,203,0,-1,0,3,0
46,4,1,2,0,229,1,0,2,5,5,197,0,-1,0,3,0
44,1,1,1,0,-674,1,0,2,5,5,257,0,-1,0,3,0
53,1,1,0,0,90,0,0,2,5,5,124,0,-1,0,3,0
52,1,1,0,0,128,1,0,2,5,5,229,0,-1,0,3,0
59,1,1,0,0,179,1,0,2,5,5,55,22,-1,0,3,0
27,9,2,2,0,0,1,0,2,5,5,400,0,-1,0,3,0
44,1,1,1,0,54,1,0,2,5,5,197,0,-1,0,3,0
47,9,1,2,0,151,1,0,2,5,5,190,0,-1,0,3,0
34,0,1,1,0,61,0,1,2,5,5,21,0,-1,0,3,0
59,5,2,1,0,30,1,0,2,5,5,514,0,-1,0,3,0
45,4,1,2,0,523,1,0,2,5,5,849,11,-1,0,3,0
29,7,0,1,0,31,1,0,2,5,5,194,0,-1,0,3,0
46,9,0,1,0,79,0,0,2,5,5,144,0,-1,0,3,0
56,6,1,0,0,-34,1,1,2,5,5,212,11,-1,0,3,0
36,1,1,0,0,448,1,0,2,5,5,286,0,-1,0,3,0
59,5,0,0,0,81,1,0,2,5,5,107,0,-1,0,3,0
44,1,1,1,0,144,1,0,2,5,5,247,11,-1,0,3,0
41,0,1,1,0,351,1,0,2,5,5,518,0,-1,0,3,0
33,4,2,2,0,-67,1,0,2,5,5,364,0,-1,0,3,0
59,4,0,2,0,262,0,0,2,5,5,178,0,-1,0,3,0
57,9,1,0,0,0,0,0,2,5,5,98,0,-1,0,3,0
56,9,0,3,0,56,1,0,2,5,5,439,0,-1,0,3,0
51,1,1,1,0,26,1,0,2,5,5,79,0,-1,0,3,0
34,0,1,3,0,3,1,0,2,5,5,120,22,-1,0,3,0
43,7,1,1,0,41,1,1,2,5,5,127,11,-1,0,3,0
52,9,1,2,0,7,0,1,2,5,5,175,0,-1,0,3,0
33,9,2,1,0,105,1,0,2,5,5,262,11,-1,0,3,0
29,0,2,1,0,818,1,1,2,5,5,61,0,-1,0,3,0
34,7,1,1,0,-16,1,1,2,5,5,78,0,-1,0,3,0
31,1,1,1,0,0,1,0,2,5,5,143,0,-1,0,3,0
55,7,1,1,0,2476,1,0,2,5,5,579,0,-1,0,3,1
55,4,1,3,0,1185,0,0,2,5,5,677,0,-1,0,3,0
32,0,2,1,0,217,1,0,2,5,5,345,0,-1,0,3,0
38,9,2,1,0,1685,1,0,2,5,5,185,0,-1,0,3,0
55,0,2,1,0,802,1,1,2,5,5,100,11,-1,0,3,0
28,10,2,2,0,0,1,0,2,5,5,125,11,-1,0,3,0
23,1,1,1,0,94,1,0,2,5,5,193,0,-1,0,3,0
32,9,2,1,0,0,1,0,2,5,5,136,0,-1,0,3,0
43,7,2,3,0,0,0,0,2,5,5,73,0,-1,0,3,0
32,1,1,1,0,517,1,0,2,5,5,528,0,-1,0,3,0
46,1,1,1,0,265,1,0,2,5,5,541,0,-1,0,3,0
53,3,0,0,0,947,1,0,2,5,5,163,0,-1,0,3,0
34,6,2,1,0,3,1,0,2,5,5,301,0,-1,0,3,0
57,10,1,2,0,42,0,0,2,5,5,46,0,-1,0,3,0
37,1,1,1,0,37,1,0,2,5,5,204,0,-1,0,3,0
59,1,1,1,0,57,1,0,2,5,5,98,0,-1,0,3,0
33,7,1,1,0,22,1,0,2,5,5,71,0,-1,0,3,0
56,1,0,0,0,8,1,0,2,5,5,157,11,-1,0,3,0
48,10,1,1,0,293,1,0,2,5,5,243,0,-1,0,3,0
43,7,1,0,0,3,1,0,2,5,5,186,11,-1,0,3,0
54,1,1,0,0,348,1,0,2,5,5,579,11,-1,0,3,0
51,1,1,3,0,-19,1,0,2,5,5,163,11,-1,0,3,0
26,8,2,1,0,0,1,0,2,5,5,610,11,-1,0,3,0
40,4,1,2,0,-4,1,0,2,5,5,2033,0,-1,0,3,0
39,4,1,1,0,18,1,0,2,5,5,85,0,-1,0,3,0
50,9,1,0,0,139,0,0,2,5,5,114,11,-1,0,3,0
41,7,1,1,0,0,1,0,2,5,5,114,11,-1,0,3,0
51,1,1,3,0,1883,1,0,2,5,5,57,0,-1,0,3,0
60,5,0,1,0,216,1,0,2,5,5,238,0,-1,0,3,0
52,1,1,1,0,782,1,0,2,5,5,93,22,-1,0,3,0
48,1,1,1,0,904,1,0,2,5,5,128,11,-1,0,3,0
48,7,1,3,0,1705,1,0,2,5,5,107,0,-1,0,3,0
39,9,2,2,0,47,1,0,2,5,5,181,0,-1,0,3,0
47,7,2,1,0,176,1,0,2,5,5,303,11,-1,0,3,0
40,1,1,1,0,1225,1,0,2,5,5,558,38,-1,0,3,0
45,9,1,1,0,86,1,0,2,5,5,270,0,-1,0,3,0
26,0,2,1,0,82,1,0,2,5,5,228,0,-1,0,3,0
52,4,1,2,0,271,1,0,2,5,5,99,0,-1,0,3,0
54,9,1,1,0,1378,1,0,2,5,5,240,0,-1,0,3,0
54,0,1,2,0,184,0,0,2,5,5,673,11,-1,0,3,1
50,1,1,0,0,0,0,0,2,5,5,233,22,-1,0,3,0
35,1,1,1,0,0,1,0,2,5,5,1056,0,-1,0,3,0
44,7,1,1,0,1357,1,1,2,5,5,250,0,-1,0,3,0
53,2,1,3,0,19,1,0,2,5,5,252,0,-1,0,3,0
35,5,2,0,0,434,0,0,2,5,5,138,0,-1,0,3,0
60,0,0,1,0,92,1,0,2,5,5,130,0,-1,0,3,0
53,0,0,1,0,1151,1,0,2,5,5,412,0,-1,0,3,0
48,10,1,1,0,41,1,0,2,5,5,179,11,-1,0,3,0
34,9,1,1,0,51,1,0,2,5,5,19,11,-1,0,3,0
54,7,1,1,0,214,1,0,2,5,5,458,11,-1,0,3,0
51,4,1,1,0,1161,1,0,2,5,5,717,0,-1,0,3,0
31,7,1,2,0,37,1,0,2,5,5,313,0,-1,0,3,0
35,9,0,1,0,787,1,0,2,5,5,683,11,-1,0,3,0
35,7,1,1,0,59,1,0,2,5,5,1077,0,-1,0,3,0
38,9,1,1,0,253,1,0,2,5,5,416,0,-1,0,3,0
36,0,1,2,0,211,1,0,2,5,5,146,11,-1,0,3,0
58,5,1,0,0,235,1,0,2,5,5,167,0,-1,0,3,0
40,7,0,3,0,4384,1,0,2,5,5,315,0,-1,0,3,0
54,4,1,1,0,4080,0,0,2,5,5,140,0,-1,0,3,0
34,1,2,1,0,53,1,1,2,5,5,346,0,-1,0,3,0
31,4,2,2,0,0,1,0,2,5,5,562,0,-1,0,3,0
51,5,1,1,0,2127,1,0,2,5,5,172,0,-1,0,3,0
33,4,1,2,0,377,1,0,2,5,5,217,0,-1,0,3,0
55,4,1,2,0,73,1,0,2,5,5,142,11,-1,0,3,0
42,0,1,1,0,445,1,0,2,5,5,67,0,-1,0,3,0
34,1,1,1,0,243,1,0,2,5,5,291,0,-1,0,3,0
33,1,2,1,0,307,1,0,2,5,5,309,11,-1,0,3,0
38,7,1,1,0,155,1,0,2,5,5,248,0,-1,0,3,0
50,9,0,2,0,173,0,1,2,5,5,98,0,-1,0,3,0
43,4,1,2,0,400,1,0,2,5,5,256,0,-1,0,3,0
61,1,0,0,0,1428,1,0,2,5,5,82,11,-1,0,3,0
47,0,1,1,0,219,1,0,2,5,5,577,0,-1,0,3,0
48,6,1,2,0,7,1,0,2,5,5,286,0,-1,0,3,0
44,1,1,1,0,575,1,0,2,5,5,477,0,-1,0,3,0
35,8,2,3,0,298,1,0,2,5,5,611,11,-1,0,3,0
35,7,1,1,0,0,1,0,2,5,5,471,0,-1,0,3,0
50,7,1,1,0,5699,1,0,2,5,5,381,11,-1,0,3,0
41,4,1,2,0,176,1,1,2,5,5,42,0,-1,0,3,0
41,4,1,2,0,517,1,0,2,5,5,251,0,-1,0,3,0
39,7,2,3,0,257,1,0,2,5,5,408,0,-1,0,3,0
42,5,1,1,0,56,1,0,2,5,5,215,0,-1,0,3,0
38,1,1,1,0,-390,1,0,2,5,5,287,0,-1,0,3,0
53,5,1,1,0,330,1,0,2,5,5,216,11,-1,0,3,0
59,3,0,0,0,195,0,0,2,5,5,366,11,-1,0,3,0
36,7,1,1,0,301,1,0,2,5,5,210,0,-1,0,3,0
54,1,1,0,0,-41,1,0,2,5,5,288,0,-1,0,3,0
40,9,1,2,0,483,1,0,2,5,5,168,0,-1,0,3,0
47,11,1,3,0,28,0,0,2,5,5,338,11,-1,0,3,0
53,10,1,3,0,13,0,0,2,5,5,410,22,-1,0,3,0
46,3,1,0,0,965,0,0,2,5,5,177,0,-1,0,3,0
39,4,1,2,0,378,1,1,2,5,5,127,11,-1,0,3,0
40,10,1,1,0,219,1,0,2,5,5,357,0,-1,0,3,0
28,1,1,0,0,324,1,0,2,5,5,175,0,-1,0,3,0
35,2,0,1,0,-69,1,0,2,5,5,300,0,-1,0,3,0
55,5,1,1,0,0,0,1,2,5,5,136,0,-1,0,3,0
43,9,0,3,0,205,1,0,2,5,5,1419,0,-1,0,3,0
48,1,1,0,0,278,1,0,2,5,5,125,11,-1,0,3,0
58,4,1,3,0,1065,1,0,2,5,5,213,22,-1,0,3,0
33,4,2,2,0,34,1,0,2,5,5,27,0,-1,0,3,0
36,1,1,3,0,1033,0,0,2,5,5,238,11,-1,0,3,0
53,7,0,1,0,1467,1,0,2,5,5,124,0,-1,0,3,0
47,1,1,0,0,-12,1,0,2,5,5,18,0,-1,0,3,0
31,7,1,1,0,388,1,0,2,5,5,730,11,-1,0,3,0
57,2,1,1,0,294,1,0,2,5,5,746,11,-1,0,3,0
53,1,1,3,0,1827,0,0,2,5,5,121,0,-1,0,3,0
